pitchtype,tilt,name,pitch_id,velo,spin_rate,extension,vertical_movement,horizontal_movement,vaa,vertical_location,horizontal_location,pitcher_hand
ChangeUp,10:00,HDJ,11/10/23 12:57,84.1,1960,5.6,8.1,-15.5,-7.54,1.71,-0.69,L
ChangeUp,10:00,HDJ,10/25/23 14:49,86.4,2175,5.5,10.6,-16.4,-6.72,2.16,-1.74,L
ChangeUp,10:00,HDJ,10/25/23 14:47,86.4,2138,5.6,9,-13.6,-7.73,1.2,-0.52,L
ChangeUp,10:15,HDJ,11/10/23 13:01,81.9,2079,5.7,10.5,-15,-7.66,1.35,-1.23,L
ChangeUp,10:15,HDJ,11/10/23 13:03,83,1976,5.8,12.2,-14.7,-8.18,0.83,-1.65,L
ChangeUp,10:15,HDJ,11/17/23 12:28,86.1,2042,5.1,13.1,-15.5,-7.14,1.05,-1.75,L
Curveball,6:00,HDJ,11/10/23 13:01,80.3,2335,4.7,-10.8,0.4,-11.08,0.77,-1.07,L
Curveball,5:45,HDJ,11/10/23 13:00,79.7,2284,4.9,-8.8,1.2,-9.97,1.44,0,L
Curveball,5:15,HDJ,11/10/23 13:04,79,2204,4.6,-9.6,3.4,-8.3,3.35,-0.68,L
Curveball,5:15,HDJ,11/10/23 12:59,79.1,2376,5.2,-9.1,3.4,-10.17,1.25,0.12,L
Curveball,5:15,HDJ,11/17/23 12:30,80.4,2295,5,-8,3.1,-7.63,3.33,-1.21,L
Curveball,5:15,HDJ,11/17/23 12:31,80.2,2247,4.3,-9.5,4.1,-8.72,2.46,0.52,L
Curveball,5:00,HDJ,11/10/23 13:05,80.2,2441,4.9,-9.6,4.8,-11.25,0.28,0.02,L
Curveball,5:00,HDJ,10/25/23 14:49,80.4,2493,4.6,-16.6,8.5,-9.17,3.02,-1.7,L
Curveball,4:45,HDJ,11/10/23 13:01,79.5,2245,4.7,-7,5.7,-9.64,1.72,0.55,L
Curveball,4:15,HDJ,11/10/23 13:02,77.3,2160,4.7,-7.3,9.8,-7.19,4.26,-0.52,L
Fastball,10:45,HDJ,11/10/23 12:54,89.1,2097,5.5,14.4,-10.1,-6.53,2.02,-0.47,L
Fastball,10:45,HDJ,11/17/23 12:29,89.4,2061,5.2,14.3,-9.9,-4.4,3.59,-0.54,L
Fastball,10:45,HDJ,11/17/23 12:29,90,2063,5.4,14.5,-9.9,-8.11,0.19,-0.26,L
Fastball,10:45,HDJ,11/10/23 12:55,88.9,2133,5.4,17.4,-11.9,-6,2.33,-1.64,L
Fastball,11:00,HDJ,11/10/23 12:54,88.4,2161,5.4,18.2,-12.2,-6.82,1.41,0.75,L
Fastball,11:00,HDJ,11/10/23 12:59,87.5,2166,5.5,16.2,-10.2,-5.26,3.14,-0.97,L
Fastball,11:00,HDJ,11/17/23 12:27,89.6,2176,4.8,16.5,-10,-4.33,3.68,-0.77,L
Fastball,11:00,HDJ,11/17/23 12:25,89.8,2035,5,15.5,-9.3,-4.73,3.26,-1.47,L
Fastball,11:00,HDJ,11/10/23 12:58,87.5,2254,5.6,17.2,-10.1,-4.35,3.97,0.6,L
Fastball,11:00,HDJ,11/17/23 12:26,90.2,2094,5.3,15.1,-8.8,-4.49,3.54,0.73,L
Fastball,11:00,HDJ,11/10/23 12:55,175.8,4317,10.9,36.4,-20.9,-12.14,4.54,-2.66,L
Fastball,11:00,HDJ,11/17/23 12:24,90.7,2059,4.8,18.6,-10.3,-5.78,1.99,-1.31,L
Fastball,11:00,HDJ,11/10/23 12:56,88.9,2211,5.3,18.8,-10.4,-7.16,1.03,-0.88,L
Fastball,11:00,HDJ,11/10/23 12:53,88.1,2089,5.2,17.4,-9.4,-7.31,1.24,-1.94,L
Fastball,11:00,HDJ,11/17/23 12:28,90.2,2031,4.9,18.8,-9.9,-3.33,4.39,-2.37,L
Fastball,11:00,HDJ,11/10/23 13:06,88.4,2211,5.5,19.2,-9.9,-5.6,2.58,-1.8,L
Fastball,11:00,HDJ,11/10/23 13:02,87.8,2204,5.5,18.7,-9.4,-6.74,1.58,-0.88,L
Fastball,11:15,HDJ,11/17/23 12:27,89.4,2084,5,17.4,-8.4,-6.38,1.61,-0.04,L
Fastball,11:15,HDJ,11/17/23 12:24,181.4,4115,10.4,36.4,-17.3,-11.63,3.9,-0.9,L
Fastball,11:15,HDJ,11/17/23 12:24,90.9,1962,5.1,16.1,-6.8,-5.22,2.74,0.07,L
Fastball,11:15,HDJ,11/17/23 12:32,88.2,2089,5.2,16.1,-6.6,-7.67,0.58,0.99,L
Fastball,11:15,HDJ,10/25/23 14:51,90.2,2263,5.6,17.6,-7.1,-5.89,2.32,-1.29,L
Fastball,11:15,HDJ,11/10/23 13:06,88.1,2304,5.6,20,-8,-7.31,0.78,-1.1,L
Fastball,11:15,HDJ,11/10/23 12:59,88,2166,5.4,20.3,-8,-7.49,0.57,-0.87,L
Fastball,11:15,HDJ,11/17/23 12:31,89.8,2016,5.7,15.2,-5.8,-5.53,2.45,0.71,L
Fastball,11:15,HDJ,11/17/23 12:30,89.1,2096,5.4,15,-5.4,-5.1,3.02,0,L
Fastball,11:15,HDJ,10/25/23 14:47,90.5,2301,5.6,18.3,-6.5,-6.01,2.01,-0.84,L
Fastball,11:15,HDJ,11/17/23 12:29,89.4,2047,5.6,17.9,-6.4,-6.32,1.56,0.44,L
Fastball,11:15,HDJ,11/17/23 12:32,89.3,1964,5.1,17.2,-6.1,-3.66,4.04,0.99,L
Fastball,11:15,HDJ,11/10/23 12:53,88.2,2151,5.2,18.2,-6.2,-6.71,1.53,-1.49,L
Fastball,11:30,HDJ,10/25/23 14:50,89.7,2312,5.6,16.7,-5.3,-5.79,2.54,-0.12,L
Fastball,11:30,HDJ,11/10/23 12:53,87.5,2229,5.3,18.6,-5.7,-5.87,2.41,-0.9,L
Fastball,11:30,HDJ,11/17/23 12:25,90.5,2049,5,17.6,-5.3,-4.43,3.42,0.33,L
Fastball,11:30,HDJ,10/25/23 14:47,90.5,2279,5.5,18.4,-4.4,-4.93,3.09,-0.92,L
Fastball,11:30,HDJ,10/25/23 14:47,90.2,2426,5.3,18.2,-4,-4.41,3.67,-0.15,L
Fastball,11:30,HDJ,11/10/23 12:56,89.7,2175,5.2,18.8,-3.9,-5.64,2.46,-0.6,L
Fastball,11:45,HDJ,11/10/23 12:56,87.8,2193,5.4,18.8,-3.3,-6.1,2.19,-2.55,L
Fastball,11:45,HDJ,10/25/23 14:52,89.7,2379,5.5,17.1,-2.8,-7.05,1.29,0.87,L
Fastball,11:45,HDJ,11/10/23 13:03,87.3,2188,5.6,19.5,-3,-5.95,2.41,-1.12,L
Fastball,11:45,HDJ,11/10/23 12:54,88.1,2151,5.5,16.8,-2.2,-6.1,2.32,-0.91,L
Fastball,11:00,HDJ,10/25/23 14:48,719.2,17539,43.4,,,-14.56,10.98,-1.55,L
Undefined,9:00,HDJ,10/25/23 14:48,84.5,2038,5.4,-0.4,-13.3,-8.62,1.3,-0.8,L
Undefined,10:00,HDJ,10/25/23 14:50,85.9,1981,5.6,9.9,-15,-7.74,1.25,-1.78,L
Undefined,,HDJ,10/25/23 14:46,89,2467,5.4,,,-4.83,3.31,0.21,L